fid,id_plot,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire,pointeur,tablette
"1","13",75,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Angélique ,2024/09/16 21:15:07,,,
"2","13",15,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:16:53,,,
"3","13",15,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:17:09,,,
"4","13",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:17:31,,,
"5","13",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Bacouma,2024/09/16 21:18:12,,,
"6","13",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:19:25,,,
"7","13",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Wacapou,2024/09/16 21:20:08,,,
"8","13",15,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,false,,2024/09/16 21:20:33,,,
"9","13",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:21:30,,,
"10","13",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:22:36,,,
"11","13",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:22:45,,,
"12","13",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:23:02,,,
"13","13",10,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:23:50,,,
"14","13",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:24:03,,,
"15","13",120,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Voupi,2024/09/16 21:25:25,,,
"16","13",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Pois sucré ,2024/09/16 21:26:24,,,
"17","13",30,vivant,,,,,,,,2024/09/16 21:26:52,,,
"18","13",15,vivant,,,,,,true,Mao noir,2024/09/16 21:27:34,,,
"19","13",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:28:36,,,
"20","13",30,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Bagui bagui ,2024/09/16 21:29:28,,,
"21","13",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:30:23,,,
"22","13",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 21:31:40,,,
