fid,id_plot,type_piste,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire
"1",,Piste secondaire,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cèdre noir,2024/09/16 17:58:51,
"2",,Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Amourette,2024/09/16 18:00:32,
"3",,Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:03:38,
"4",,Piste secondaire,"45",mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:04:10,
"5",,Piste secondaire,"35",vivant,,,,,,,,2024/09/16 18:07:27,
"6","8",Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cobe,2024/09/16 18:41:32,
"7","8",Piste secondaire,"100",exploité,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,"7384",,true,Angélique ,2024/09/16 18:42:59,
"8","8",Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:44:16,
"9","8",Piste secondaire,"10",vivant,,,,,,,,2024/09/16 18:44:44,
"10","8",Piste secondaire,"35",vivant,"2 - Blessures moyennes (200-600 cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,true,Aliniao,2024/09/16 18:45:07,
"11","8",Piste secondaire,"35",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Moni,2024/09/16 18:45:53,
"12","10",Piste secondaire,"30",mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 11:33:43,
"13","10",Piste secondaire,"15",vivant,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 11:39:18,
"14","10",Piste secondaire,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 11:42:22,
"15","10",Piste secondaire,"20",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot noir,2024/09/17 11:42:47,
"16","10",Piste secondaire,"30",vivant,"2 - Blessures moyennes (200-600 cm²)
",2 - Une ou plusieurs branches principales cassées ,0 - Arbre droit,,,true,Mahot noir,2024/09/17 11:44:20,
"17",,Piste secondaire,"10",vivant,0 - Aucune blessure,0 - Aucune branche endommagée,3 - Arbre couché,,,false,,2024/09/17 11:46:58,
"18","10",Piste secondaire,"10",vivant,0 - Aucune blessure,3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/17 11:48:39,
"19","28",Piste secondaire,"75",exploité,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,"07272",,,Angélique ,2024/09/17 18:19:14,
"20","28",Piste secondaire,"45",intact,"2 - Blessures moyennes (200-600 cm²)
",1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,true,Mahot noir,2024/09/17 18:21:24,
"21","28",Piste secondaire,"10",intact,0 - Aucune blessure,2 - Une ou plusieurs branches principales cassées ,0 - Arbre droit,,,,,2024/09/17 18:23:45,
"22","28",Piste secondaire,"20",mort,"3 - Blessures importantes (>600cm²)
",3 - Arbre étêté,3 - Arbre couché,,,,,2024/09/17 18:24:15,
"23","28",Piste secondaire,"35",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 18:25:00,
"24","28",Piste secondaire,"30",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 18:25:40,
"25","28",Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,1 - Légèrement penché (<10°),,,,,2024/09/17 18:26:18,
"26","25",Piste principale,"10",vivant,"3 - Blessures importantes (>600cm²)
",3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/17 18:35:30,
"27","25",Piste principale,"20",vivant,"3 - Blessures importantes (>600cm²)
",3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/17 18:36:10,
"28","25",Piste principale,"50",vivant,"2 - Blessures moyennes (200-600 cm²)
",3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/17 18:37:09,
"29","25",,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 18:43:56,
"30","26",Piste principale,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:12:08,
"31","26",Piste principale,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:12:23,
"32","26",Piste principale,"10",vivant,"2 - Blessures moyennes (200-600 cm²)
",3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/17 19:12:39,Doublon
"33","26",Piste principale,"35",vivant,"2 - Blessures moyennes (200-600 cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,Angélique ,2024/09/17 19:13:02,
"34","26",Piste principale,"25",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Manille marécage ,2024/09/17 19:13:47,
"35","26",Piste principale,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:14:32,
